A|B|S|截面面积F(cm2)|理论重量G(kg/m)
10|5|0.8|0.203|0.16
10|5|1|0.243|0.191
12|6|0.8|0.251|0.197
12|6|1|0.303|0.238
14|7|1|0.362|0.285
14|7|1.5|0.501|0.394
14|7|2|0.611|0.48
14|10|1|0.423|0.332
14|10|1.5|0.591|0.464
14|10|2|0.731|0.574
16|8|1|0.423|0.332
16|8|1.5|0.591|0.464
16|8|2|0.731|0.574
16|12|1|0.502|0.395
16|12|1.5|0.711|0.558
16|12|2|0.891|0.7
18|9|1|0.483|0.379
18|9|1.5|0.681|0.535
18|9|2|0.851|0.668
18|14|1|0.583|0.458
18|14|1.5|0.831|0.653
18|14|2|1.051|0.825
20|10|1|0.543|0.426
20|10|1.5|0.771|0.606
20|10|2|0.971|0.762
20|12|1|0.583|0.458
20|12|1.5|0.831|0.653
20|12|2|1.051|0.825
25|10|1|0.643|0.505
25|10|1.5|0.921|0.723
25|10|2|1.171|0.919
25|18|1|0.803|0.63
25|18|1.5|1.161|0.912
25|18|2|1.491|1.171
30|15|1.5|1.221|0.959
30|15|2|1.571|1.233
30|15|2.5|1.893|1.486
30|20|1.5|1.371|1.007
30|20|2|1.771|1.39
30|20|2.5|2.143|1.682
35|15|1.5|1.371|1.077
35|15|2|1.771|1.39
35|15|2.5|2.143|1.682
35|25|1.5|1.671|1.312
35|25|2|2.171|1.704
35|25|2.5|2.642|2.075
40|11|1.5|1.401|1.1
40|20|2|2.171|1.704
40|20|2.5|2.642|2.075
40|20|3|3.085|2.422
40|30|2|2.571|2.018
40|30|2.5|3.143|2.467
40|30|3|3.685|2.893
50|25|2|2.771|2.175
50|25|3|3.985|3.129
50|25|4|5.085|3.992
50|40|2|3.371|2.646
50|40|3|4.885|3.835
50|40|4|6.285|4.934
60|30|2|3.371|2.646
60|30|3|4.885|3.835
60|30|4|6.285|4.934
60|40|2|3.771|2.96
60|40|3|5.485|4.306
60|40|4|7.085|5.562
70|35|2|3.971|3.117
70|35|3|5.785|4.542
70|35|4|7.485|5.876
70|50|3|6.685|5.248
70|50|4|8.685|6.818
70|50|5|10.57|8.298
80|40|3|6.685|5.248
80|40|4|8.685|6.818
80|40|5|10.57|8.298
80|60|4|10.29|8.074
80|60|5|12.57|9.868
80|60|6|14.74|11.57
90|50|3|7.885|6.19
90|50|4|10.29|8.074
90|50|5|12.57|9.868
90|70|4|11.89|9.33
90|70|5|14.57|11.44
90|70|6|15.94|12.51
100|50|3|8.485|6.661
100|50|4|11.09|8.702
100|50|5|13.57|10.65
100|80|4|13.49|10.59
100|80|5|16.57|13.01
100|80|6|19.54|15.34
120|60|4|13.49|10.59
120|60|5|16.57|13.01
120|60|6|19.54|15.34
120|80|4|15.09|11.84
120|80|6|21.94|17.22
120|80|8|27.79|21.82
140|70|6|23.14|18.17
140|70|8|29.39|23.07
140|70|10|35.43|27.81
140|120|6|29.14|22.88
140|120|8|37.39|29.35
140|120|10|45.43|35.66
150|75|6|24.94|19.58
150|75|8|31.79|24.96
150|75|10|38.43|30.16
150|100|6|27.94|21.93
150|100|8|35.79|28.1
150|100|10|43.43|34.09
160|60|6|24.34|19.11
160|60|8|30.99|24.33
160|60|10|37.43|29.38
160|80|6|26.74|20.99
160|80|8|34.19|26.84
160|80|10|41.43|32.52
180|80|6|29.14|22.88
180|80|8|37.39|29.35
180|80|10|45.43|35.66
180|100|8|40.59|31.87
180|100|10|49.43|38.8
180|100|12|57.73|45.32
200|80|8|40.59|31.87
200|80|12|45.73|45.32
200|80|14|65.51|51.43
200|120|8|46.99|36.89
200|120|12|67.33|52.86
200|120|14|76.71|60.22
220|110|8|48.59|38.15
220|110|12|69.73|54.74
220|110|14|79.51|62.42
220|200|10|77.43|60.78
220|200|12|91.33|71.7
220|200|14|104.7|82.2
240|180|12|91.33|71.7
250|150|10|73.43|57.64
250|150|12|86.53|67.93
250|150|14|99.11|77.8
250|200|10|83.43|65.49
250|200|12|98.53|77.35
250|200|14|113.1|88.79
300|150|10|83.43|65.49
300|150|14|113.1|88.79
300|150|16|127.2|99.83
300|200|10|93.43|73.34
300|200|14|127.1|99.78
300|200|16|143.2|112.39
400|200|10|113.4|89.04
400|200|14|155.1|121.76
400|200|16|175.2|137.51
