型号|B|b|d|r|理论重量(kg/m)
2.5/1.6|25|16|3|3.5|0.912
2.5/1.6|25|16|4|3.5|1.176
3.2/2|32|20|3|3.5|1.171
3.2/2|32|20|4|3.5|1.522
4/2.5|40|25|3|4|1.484
4/2.5|40|25|4|4|1.936
4.5/2.8|45|28|3|5|1.687
4.5/2.8|45|28|4|5|2.203
5/3.2|50|32|3|5.5|1.908
5/3.2|50|32|4|5.5|2.494
5.6/3.6|56|36|3|6|2.153
5.6/3.6|56|36|4|6|2.818
5.6/3.6|56|36|5|6|3.466
6.3/4|63|40|4|7|3.185
6.3/4|63|40|5|7|3.92
6.3/4|63|40|6|7|4.638
6.3/4|63|40|7|7|5.339
7/4.5|70|45|4|7.5|3.57
7/4.5|70|45|5|7.5|4.403
7/4.5|70|45|6|7.5|5.218
7/4.5|70|45|7|7.5|6.011
7.5/5|75|50|5|8|4.808
7.5/5|75|50|6|8|5.699
7.5/5|75|50|8|8|7.431
7.5/5|75|50|10|8|9.098
8/5|80|50|5|8|5.005
8/5|80|50|6|8|5.935
8/5|80|50|7|8|6.848
8/5|80|50|8|8|7.745
9/5.6|90|56|5|9|5.661
9/5.6|90|56|6|9|6.717
9/5.6|90|56|7|9|7.756
9/5.6|90|56|8|9|8.779
10/6.3|100|63|6|10|7.55
10/6.3|100|63|7|10|8.722
10/6.3|100|63|8|10|9.878
10/6.3|100|63|10|10|12.142
10/8|100|80|6|10|8.35
10/8|100|80|7|10|9.656
10/8|100|80|8|10|10.946
10/8|100|80|10|10|13.476
11/7|110|70|6|10|8.35
11/7|110|70|7|10|9.656
11/7|110|70|8|10|10.946
11/7|110|70|10|10|13.476
12.5/8|125|80|7|11|11.066
12.5/8|125|80|8|11|12.551
12.5/8|125|80|10|11|15.474
12.5/8|125|80|12|11|18.33
14/9|140|90|8|12|14.16
14/9|140|90|10|12|17.475
14/9|140|90|12|12|20.724
14/9|140|90|14|12|23.908
15/9|150|90|8|12|14.788
15/9|150|90|10|12|18.26
15/9|150|90|12|12|21.666
15/9|150|90|14|12|25.007
15/9|150|90|15|12|26.652
15/9|150|90|16|12|28.281
16/10|160|100|10|13|19.872
16/10|160|100|12|13|23.592
16/10|160|100|14|13|27.247
16/10|160|100|16|13|30.835
18/11|180|110|10|14|22.273
18/11|180|110|12|14|26.464
18/11|180|110|14|14|30.589
18/11|180|110|16|14|34.649
20/12.5|200|125|12|14|29.761
20/12.5|200|125|14|14|34.436
20/12.5|200|125|16|14|39.045
20/12.5|200|125|18|14|43.588
