型号|h|b|d|t|r|r1|理论重量(kg/m)
5|50|37|4.5|7|7|3.5|5.438
6.3|63|40|4.8|7.5|7.5|3.8|6.634
6.5|65|40|4.3|7.5|7.5|3.8|6.709
8|80|43|5|8|8|4|8.045
10|100|48|5.3|8.5|8.5|4.2|10.007
12|120|53|5.5|9|9|4.5|12.059
12.6|126|53|5.5|9|9|4.5|12.318
14a|140|58|6|9.5|9.5|4.8|14.535
14b|140|60|8|9.5|9.5|4.8|16.733
16a|160|63|6.5|10|10|5|17.24
16b|160|65|8.5|10|10|5|19.752
18a|180|68|7|10.5|10.5|5.2|20.174
18b|180|70|9|10.5|10.5|5.2|23
20a|200|73|7|11|11|5.5|22.637
20b|200|75|9|11|11|5.5|25.777
22a|220|77|7|11.5|11.5|5.8|24.999
22b|220|79|9|11.5|11.5|5.8|28.453
24a|240|78|7|12|12|6|26.86
24b|240|80|9|12|12|6|30.628
24c|240|82|11|12|12|6|34.396
25a|250|78|7|12|12|6|27.41
25b|250|80|9|12|12|6|31.335
25c|250|82|11|12|12|6|35.26
27a|270|82|7.5|12.5|12.5|6.2|30.838
27b|270|84|9.5|12.5|12.5|6.2|35.077
27c|270|86|11.5|12.5|12.5|6.2|39.316
28a|280|82|7.5|12.5|12.5|6.2|31.427
28b|280|84|9.5|12.5|12.5|6.2|35.823
28c|280|86|11.5|12.5|12.5|6.2|40.219
30a|300|85|7.5|13.5|13.5|6.8|34.463
30b|300|87|9.5|13.5|13.5|6.8|39.173
30c|300|89|11.5|13.5|13.5|6.8|43.883
32a|320|88|8|14|14|7|38.083
32b|320|90|10|14|14|7|43.107
32c|320|92|12|14|14|7|48.131
36a|360|96|9|16|16|8|41.814
36b|360|98|11|16|16|8|53.466
36c|360|100|13|16|16|8|59.118
40a|400|100|10.5|18|18|9|58.928
40b|400|102|12.5|18|18|9|65.208
40c|400|104|14.5|18|18|9|71.488
