型号|b|d|r|理论重量(kg/m)
2|20|3|3.5|0.889
2|20|4|3.5|1.145
2.5|25|3|3.5|1.124
2.5|25|4|3.5|1.459
3|30|3|4.5|1.373
3|30|4|4.5|1.786
3.6|36|3|4.5|1.656
3.6|36|4|4.5|2.163
3.6|36|5|4.5|2.654
4|40|3|5|1.852
4|40|4|5|2.422
4|40|5|5|2.976
4.5|45|3|5|2.088
4.5|45|4|5|2.736
4.5|45|5|5|3.369
4.5|45|6|5|3.985
5|50|3|5.5|2.332
5|50|4|5.5|3.059
5|50|5|5.5|3.77
5|50|6|5.5|4.465
5.6|56|3|6|2.624
5.6|56|4|6|3.446
5.6|56|5|6|4.251
5.6|56|6|6|5.04
5.6|56|7|6|5.812
5.6|56|8|6|6.568
6|60|5|6.5|4.576
6|60|6|6.5|5.427
6|60|7|6.5|6.262
6|60|8|6.5|7.081
6.3|63|4|7|3.907
6.3|63|5|7|4.822
6.3|63|6|7|5.721
6.3|63|7|7|6.603
6.3|63|8|7|7.469
6.3|63|10|7|9.151
7|70|4|8|4.372
7|70|5|8|5.397
7|70|6|8|6.406
7|70|7|8|7.398
7|70|8|8|8.373
7.5|75|5|9|5.818
7.5|75|6|9|6.905
7.5|75|7|9|7.976
7.5|75|8|9|9.03
7.5|75|9|9|10.068
7.5|75|10|9|11.089
8|80|5|9|6.211
8|80|6|9|7.376
8|80|7|9|8.525
8|80|8|9|9.658
8|80|9|9|10.774
8|80|10|9|11.874
9|90|6|10|8.35
9|90|7|10|9.656
9|90|8|10|10.946
9|90|9|10|12.219
9|90|10|10|13.476
9|90|12|10|15.94
10|100|6|12|9.366
10|100|7|12|10.83
10|100|8|12|12.276
10|100|9|12|13.708
10|100|10|12|15.12
10|100|12|12|17.898
10|100|14|12|20.611
10|100|16|12|23.257
11|110|7|12|11.928
11|110|8|12|13.532
11|110|10|12|16.69
11|110|12|12|19.782
11|110|14|12|22.809
12.5|125|8|14|15.504
12.5|125|10|14|19.133
12.5|125|12|14|22.696
12.5|125|14|14|26.193
12.5|125|16|14|29.625
14|140|10|14|21.488
14|140|12|14|25.522
14|140|14|14|29.19
14|140|16|14|33.393
15|150|8|14|18.644
15|150|10|14|23.058
15|150|12|14|27.406
15|150|14|14|31.688
15|150|15|14|33.804
15|150|16|14|35.905
16|160|10|16|24.729
16|160|12|16|29.391
16|160|14|16|33.987
16|160|16|16|38.518
18|180|12|16|33.159
18|180|14|16|38.383
18|180|16|16|43.542
18|180|18|16|48.634
20|200|14|18|42.894
20|200|16|18|48.68
20|200|18|18|54.401
20|200|20|18|60.056
20|200|24|18|71.168
22|220|16|21|53.901
22|220|18|21|60.25
22|220|20|21|66.533
22|220|22|21|72.751
22|220|24|21|78.902
22|220|26|21|84.987
25|250|18|24|68.956
25|250|20|24|76.18
25|250|22|24|83.3
25|250|24|24|90.433
25|250|26|24|97.461
25|250|28|24|104.422
25|250|30|24|111.318
25|250|32|24|118.149
25|250|35|24|128.271
