¿‡–Õ|–Õ∫≈|H|B|t1|t2|r|¿Ì¬€÷ ¡ø(kg/m)
HW(øÌ“Ì‘µ–Õ)|100°¡100|100|100|6|8|8|16.9
HW(øÌ“Ì‘µ–Õ)|125°¡125|125|125|6.5|9|8|23.6
HW(øÌ“Ì‘µ–Õ)|150°¡150|150|150|7|10|8|31.1
HW(øÌ“Ì‘µ–Õ)|175°¡175|175|175|7.5|11|13|40.4
HW(øÌ“Ì‘µ–Õ)|200°¡200|200|200|8|12|13|49.9
HW(øÌ“Ì‘µ–Õ)|200°¡200|200|204|12|12|13|56.2
HW(øÌ“Ì‘µ–Õ)|250°¡250|244|252|11|11|13|63.8
HW(øÌ“Ì‘µ–Õ)|250°¡250|250|250|9|14|13|71.8
HW(øÌ“Ì‘µ–Õ)|250°¡250|250|255|14|14|13|81.6
HW(øÌ“Ì‘µ–Õ)|300°¡300|294|302|12|12|13|83.5
HW(øÌ“Ì‘µ–Õ)|300°¡300|300|300|10|15|13|93
HW(øÌ“Ì‘µ–Õ)|300°¡300|300|305|15|15|13|105
HW(øÌ“Ì‘µ–Õ)|350°¡350|338|351|13|13|13|105
HW(øÌ“Ì‘µ–Õ)|350°¡350|344|348|10|16|13|113
HW(øÌ“Ì‘µ–Õ)|350°¡350|344|354|16|16|13|129
HW(øÌ“Ì‘µ–Õ)|350°¡350|350|350|12|19|13|135
HW(øÌ“Ì‘µ–Õ)|350°¡350|350|357|19|19|13|154
HW(øÌ“Ì‘µ–Õ)|400°¡400|388|402|15|15|22|140
HW(øÌ“Ì‘µ–Õ)|400°¡400|394|398|11|18|22|147
HW(øÌ“Ì‘µ–Õ)|400°¡400|394|405|18|18|22|168
HW(øÌ“Ì‘µ–Õ)|400°¡400|400|400|13|21|22|172
HW(øÌ“Ì‘µ–Õ)|400°¡400|400|408|21|21|22|197
HW(øÌ“Ì‘µ–Õ)|400°¡400|414|405|18|28|22|232
HW(øÌ“Ì‘µ–Õ)|400°¡400|428|407|20|35|22|283
HW(øÌ“Ì‘µ–Õ)|400°¡400|458|417|30|50|22|415
HW(øÌ“Ì‘µ–Õ)|400°¡400|498|432|45|70|22|604
HW(øÌ“Ì‘µ–Õ)|500°¡500|492|465|15|20|22|202
HW(øÌ“Ì‘µ–Õ)|500°¡500|502|465|15|25|22|239
HW(øÌ“Ì‘µ–Õ)|500°¡500|502|470|20|25|22|259
HM(÷–“Ì‘µ–Õ)|150°¡100|148|100|6|9|8|20.7
HM(÷–“Ì‘µ–Õ)|200°¡150|194|150|6|9|8|29.9
HM(÷–“Ì‘µ–Õ)|250°¡175|244|175|7|11|13|43.6
HM(÷–“Ì‘µ–Õ)|300°¡200|294|200|8|12|13|55.8
HM(÷–“Ì‘µ–Õ)|300°¡200|298|201|9|14|13|64.4
HM(÷–“Ì‘µ–Õ)|350°¡250|340|250|9|14|13|78.1
HM(÷–“Ì‘µ–Õ)|400°¡300|390|300|10|16|13|105
HM(÷–“Ì‘µ–Õ)|450°¡300|440|300|11|18|13|121
HM(÷–“Ì‘µ–Õ)|500°¡300|482|300|11|15|13|111
HM(÷–“Ì‘µ–Õ)|500°¡300|488|300|11|18|13|125
HM(÷–“Ì‘µ–Õ)|550°¡300|544|300|11|15|13|116
HM(÷–“Ì‘µ–Õ)|550°¡300|550|300|11|18|13|130
HM(÷–“Ì‘µ–Õ)|600°¡300|582|300|12|17|13|133
HM(÷–“Ì‘µ–Õ)|600°¡300|588|300|12|20|13|147
HM(÷–“Ì‘µ–Õ)|600°¡300|594|302|14|23|13|170
HN(’≠“Ì‘µ–Õ)|100°¡50|100|50|5|7|8|9.3
HN(’≠“Ì‘µ–Õ)|125°¡60|125|60|6|8|8|13.1
HN(’≠“Ì‘µ–Õ)|150°¡75|150|75|5|7|8|14
HN(’≠“Ì‘µ–Õ)|175°¡90|175|90|5|8|8|18
HN(’≠“Ì‘µ–Õ)|200°¡100|198|99|4.5|7|8|17.8
HN(’≠“Ì‘µ–Õ)|200°¡100|200|100|5.5|8|8|20.9
HN(’≠“Ì‘µ–Õ)|250°¡125|248|124|5|8|8|25.1
HN(’≠“Ì‘µ–Õ)|250°¡125|250|125|6|9|8|29
HN(’≠“Ì‘µ–Õ)|300°¡150|298|149|5.5|8|13|32
HN(’≠“Ì‘µ–Õ)|300°¡150|300|150|6.5|9|13|36.7
HN(’≠“Ì‘µ–Õ)|350°¡175|346|174|6|9|13|41.2
HN(’≠“Ì‘µ–Õ)|350°¡175|350|175|7|11|13|49.4
HN(’≠“Ì‘µ–Õ)|400°¡150|400|150|8|13|13|55.2
HN(’≠“Ì‘µ–Õ)|400°¡200|396|199|7|11|13|56.1
HN(’≠“Ì‘µ–Õ)|400°¡200|400|200|8|13|13|65.4
HN(’≠“Ì‘µ–Õ)|450°¡150|446|150|7|12|13|52.6
HN(’≠“Ì‘µ–Õ)|450°¡150|450|151|8|14|13|60.8
HN(’≠“Ì‘µ–Õ)|450°¡200|446|199|8|12|13|65.1
HN(’≠“Ì‘µ–Õ)|450°¡200|450|200|9|14|13|74.9
HN(’≠“Ì‘µ–Õ)|475°¡150|470|150|7|13|13|56.2
HN(’≠“Ì‘µ–Õ)|475°¡150|475|151.5|8.5|15.5|13|67.6
HN(’≠“Ì‘µ–Õ)|475°¡150|482|153.5|10.5|19|13|83.5
HN(’≠“Ì‘µ–Õ)|500°¡150|492|150|7|12|13|55.1
HN(’≠“Ì‘µ–Õ)|500°¡150|500|152|9|16|13|72.4
HN(’≠“Ì‘µ–Õ)|500°¡150|504|153|10|18|13|81.1
HN(’≠“Ì‘µ–Õ)|500°¡200|496|199|9|14|13|77.9
HN(’≠“Ì‘µ–Õ)|500°¡200|500|200|10|16|13|88.1
HN(’≠“Ì‘µ–Õ)|500°¡200|506|201|11|19|13|102
HN(’≠“Ì‘µ–Õ)|550°¡200|546|199|9|14|13|81.5
HN(’≠“Ì‘µ–Õ)|550°¡200|550|200|10|16|13|92
HN(’≠“Ì‘µ–Õ)|600°¡200|596|199|10|15|13|92.4
HN(’≠“Ì‘µ–Õ)|600°¡200|600|200|11|17|13|103
HN(’≠“Ì‘µ–Õ)|600°¡200|606|201|12|20|13|118
