A|S|截面面积F(cm2)|理论重量G(kg/m)
12|0.8|0.347|0.273
12|1|0.423|0.332
14|1|0.503|0.395
14|1.5|0.711|0.558
16|1|0.583|0.458
16|1.5|0.831|0.653
18|1|0.663|0.52
18|1.5|0.951|0.747
18|2|1.211|0.952
20|1|0.743|0.583
20|1.5|1.071|0.841
20|2|1.371|1.076
20|2.5|1.643|1.29
22|1|0.823|0.646
22|1.5|1.191|0.935
22|2|1.531|1.202
22|2.5|1.843|1.447
25|1.5|1.371|1.077
25|2|1.771|1.39
25|2.5|2.143|1.682
25|3|2.485|1.951
30|2|2.171|1.704
30|3|3.085|2.422
30|3.5|3.5|2.747
30|4|3.885|3.05
32|2|2.331|1.83
32|3|3.325|2.611
32|3.5|3.78|2.967
32|4|4.205|3.301
35|2|2.571|2.018
35|3|3.685|2.893
35|3.5|4.2|3.297
35|4|4.685|3.678
36|2|2.651|2.081
36|3|3.805|2.987
36|4|4.845|3.804
36|5|5.771|4.53
40|2|2.971|2.332
40|3|4.285|3.364
40|4|5.485|4.306
40|5|6.571|5.158
42|2|3.131|2.458
42|3|4.525|3.553
42|4|5.805|4.557
42|5|6.971|5.472
45|2|3.371|2.646
45|3|4.885|3.835
45|4|6.258|4.934
45|5|7.571|5.943
50|2|3.771|2.96
50|3|5.485|4.306
50|4|7.085|5.562
50|5|8.571|6.728
55|2|4.171|3.274
55|3|6.085|4.777
55|4|7.885|6.19
55|5|9.571|7.513
60|3|6.685|5.248
60|4|8.685|6.818
60|5|10.57|8.298
60|6|12.34|9.688
65|3|7.285|5.719
65|4|9.485|7.446
65|5|11.57|9.083
65|6|13.54|10.63
70|3|7.885|6.19
70|4|10.29|8.074
70|5|12.57|9.868
70|6|14.74|11.57
75|4|11.09|8.702
75|5|13.57|10.65
75|6|15.94|12.51
75|8|19.79|15.54
80|4|11.89|9.33
80|5|14.57|11.44
80|6|17.14|13.46
80|8|21.39|16.79
90|4|13.49|10.59
90|5|16.57|13.01
90|6|19.54|15.34
90|8|24.59|19.3
100|5|18.57|14.58
100|6|21.94|17.22
100|8|27.79|21.82
100|10|33.42|26.24
108|5|20.17|15.83
108|6|23.86|18.73
108|8|30.35|23.83
108|10|36.62|28.75
120|6|26.74|20.99
120|8|34.19|26.84
120|10|41.42|32.52
120|12|48.13|37.78
125|6|27.94|21.93
125|8|35.79|28.1
125|10|43.42|34.09
125|12|50.53|39.67
130|6|29.14|22.88
130|8|37.39|29.35
130|10|45.42|35.66
130|12|52.93|41.55
140|6|31.54|24.76
140|8|40.59|31.86
140|10|49.42|38.8
140|12|57.73|45.32
150|8|43.79|34.38
150|10|53.42|41.94
150|12|62.53|49.09
150|14|71.11|55.82
160|8|46.99|36.89
160|10|57.42|45.08
160|12|67.33|52.86
160|14|76.71|60.22
180|8|53.39|41.91
180|10|65.42|51.36
180|12|76.93|60.39
180|14|87.91|69.01
200|10|73.42|57.64
200|12|86.53|67.93
200|14|99.11|77.8
200|16|111.2|87.27
250|10|93.42|73.34
250|12|110.5|86.77
250|14|127.1|99.78
250|16|143.2|112.4
280|10|105.4|82.76
280|12|124.9|98.07
280|14|143.9|113
280|16|162.4|127.5
