类型|A|B|S|截面积|单位重量
冷拔异型方形钢管|12|0|0.8|0.347|0.273
冷拔异型方形钢管|12|0|1|0.423|0.332
冷拔异型方形钢管|14|0|1|0.503|0.395
冷拔异型方形钢管|14|0|1.5|0.711|0.558
冷拔异型方形钢管|16|0|1|0.583|0.458
冷拔异型方形钢管|16|0|1.5|0.831|0.653
冷拔异型方形钢管|18|0|1|0.663|0.52
冷拔异型方形钢管|18|0|1.5|0.951|0.747
冷拔异型方形钢管|18|0|2|1.211|0.952
冷拔异型方形钢管|20|0|1|0.743|0.583
冷拔异型方形钢管|20|0|1.5|1.071|0.841
冷拔异型方形钢管|20|0|2|1.371|1.076
冷拔异型方形钢管|20|0|2.5|1.643|1.29
冷拔异型方形钢管|22|0|1|0.823|0.646
冷拔异型方形钢管|22|0|1.5|1.191|0.935
冷拔异型方形钢管|22|0|2|1.531|1.202
冷拔异型方形钢管|22|0|2.5|1.843|1.447
冷拔异型方形钢管|25|0|1.5|1.371|1.077
冷拔异型方形钢管|25|0|2|1.771|1.39
冷拔异型方形钢管|25|0|2.5|2.143|1.682
冷拔异型方形钢管|25|0|3|2.485|1.951
冷拔异型方形钢管|30|0|2|2.171|1.704
冷拔异型方形钢管|30|0|3|3.085|2.422
冷拔异型方形钢管|30|0|3.5|3.5|2.747
冷拔异型方形钢管|30|0|4|3.885|3.05
冷拔异型方形钢管|32|0|2|2.331|1.83
冷拔异型方形钢管|32|0|3|3.325|2.611
冷拔异型方形钢管|32|0|3.5|3.78|2.967
冷拔异型方形钢管|32|0|4|4.205|3.301
冷拔异型方形钢管|35|0|2|2.571|2.018
冷拔异型方形钢管|35|0|3|3.685|2.893
冷拔异型方形钢管|35|0|3.5|4.2|3.297
冷拔异型方形钢管|35|0|4|4.685|3.678
冷拔异型方形钢管|36|0|2|2.651|2.081
冷拔异型方形钢管|36|0|3|3.805|2.987
冷拔异型方形钢管|36|0|4|4.845|3.804
冷拔异型方形钢管|36|0|5|5.771|4.53
冷拔异型方形钢管|40|0|2|2.971|2.332
冷拔异型方形钢管|40|0|3|4.285|3.364
冷拔异型方形钢管|40|0|4|5.485|4.306
冷拔异型方形钢管|40|0|5|6.571|5.158
冷拔异型方形钢管|42|0|2|3.131|2.458
冷拔异型方形钢管|42|0|3|4.525|3.553
冷拔异型方形钢管|42|0|4|5.805|4.557
冷拔异型方形钢管|42|0|5|6.971|5.472
冷拔异型方形钢管|45|0|2|3.371|2.646
冷拔异型方形钢管|45|0|3|4.885|3.835
冷拔异型方形钢管|45|0|4|6.258|4.934
冷拔异型方形钢管|45|0|5|7.571|5.943
冷拔异型方形钢管|50|0|2|3.771|2.96
冷拔异型方形钢管|50|0|3|5.485|4.306
冷拔异型方形钢管|50|0|4|7.085|5.562
冷拔异型方形钢管|50|0|5|8.571|6.728
冷拔异型方形钢管|55|0|2|4.171|3.274
冷拔异型方形钢管|55|0|3|6.085|4.777
冷拔异型方形钢管|55|0|4|7.885|6.19
冷拔异型方形钢管|55|0|5|9.571|7.513
冷拔异型方形钢管|60|0|3|6.685|5.248
冷拔异型方形钢管|60|0|4|8.685|6.818
冷拔异型方形钢管|60|0|5|10.57|8.298
冷拔异型方形钢管|60|0|6|12.34|9.688
冷拔异型方形钢管|65|0|3|7.285|5.719
冷拔异型方形钢管|65|0|4|9.485|7.446
冷拔异型方形钢管|65|0|5|11.57|9.083
冷拔异型方形钢管|65|0|6|13.54|10.63
冷拔异型方形钢管|70|0|3|7.885|6.19
冷拔异型方形钢管|70|0|4|10.29|8.074
冷拔异型方形钢管|70|0|5|12.57|9.868
冷拔异型方形钢管|70|0|6|14.74|11.57
冷拔异型方形钢管|75|0|4|11.09|8.702
冷拔异型方形钢管|75|0|5|13.57|10.65
冷拔异型方形钢管|75|0|6|15.94|12.51
冷拔异型方形钢管|75|0|8|19.79|15.54
冷拔异型方形钢管|80|0|4|11.89|9.33
冷拔异型方形钢管|80|0|5|14.57|11.44
冷拔异型方形钢管|80|0|6|17.14|13.46
冷拔异型方形钢管|80|0|8|21.39|16.79
冷拔异型方形钢管|90|0|4|13.49|10.59
冷拔异型方形钢管|90|0|5|16.57|13.01
冷拔异型方形钢管|90|0|6|19.54|15.34
冷拔异型方形钢管|90|0|8|24.59|19.3
冷拔异型方形钢管|100|0|5|18.57|14.58
冷拔异型方形钢管|100|0|6|21.94|17.22
冷拔异型方形钢管|100|0|8|27.79|21.82
冷拔异型方形钢管|100|0|10|33.42|26.24
冷拔异型方形钢管|108|0|5|20.17|15.83
冷拔异型方形钢管|108|0|6|23.86|18.73
冷拔异型方形钢管|108|0|8|30.35|23.83
冷拔异型方形钢管|108|0|10|36.62|28.75
冷拔异型方形钢管|120|0|6|26.74|20.99
冷拔异型方形钢管|120|0|8|34.19|26.84
冷拔异型方形钢管|120|0|10|41.42|32.52
冷拔异型方形钢管|120|0|12|48.13|37.78
冷拔异型方形钢管|125|0|6|27.94|21.93
冷拔异型方形钢管|125|0|8|35.79|28.1
冷拔异型方形钢管|125|0|10|43.42|34.09
冷拔异型方形钢管|125|0|12|50.53|39.67
冷拔异型方形钢管|130|0|6|29.14|22.88
冷拔异型方形钢管|130|0|8|37.39|29.35
冷拔异型方形钢管|130|0|10|45.42|35.66
冷拔异型方形钢管|130|0|12|52.93|41.55
冷拔异型方形钢管|140|0|6|31.54|24.76
冷拔异型方形钢管|140|0|8|40.59|31.86
冷拔异型方形钢管|140|0|10|49.42|38.8
冷拔异型方形钢管|140|0|12|57.73|45.32
冷拔异型方形钢管|150|0|8|43.79|34.38
冷拔异型方形钢管|150|0|10|53.42|41.94
冷拔异型方形钢管|150|0|12|62.53|49.09
冷拔异型方形钢管|150|0|14|71.11|55.82
冷拔异型方形钢管|160|0|8|46.99|36.89
冷拔异型方形钢管|160|0|10|57.42|45.08
冷拔异型方形钢管|160|0|12|67.33|52.86
冷拔异型方形钢管|160|0|14|76.71|60.22
冷拔异型方形钢管|180|0|8|53.39|41.91
冷拔异型方形钢管|180|0|10|65.42|51.36
冷拔异型方形钢管|180|0|12|76.93|60.39
冷拔异型方形钢管|180|0|14|87.91|69.01
冷拔异型方形钢管|200|0|10|73.42|57.64
冷拔异型方形钢管|200|0|12|86.53|67.93
冷拔异型方形钢管|200|0|14|99.11|77.8
冷拔异型方形钢管|200|0|16|111.2|87.27
冷拔异型方形钢管|250|0|10|93.42|73.34
冷拔异型方形钢管|250|0|12|110.5|86.77
冷拔异型方形钢管|250|0|14|127.1|99.78
冷拔异型方形钢管|250|0|16|143.2|112.4
冷拔异型方形钢管|280|0|10|105.4|82.76
冷拔异型方形钢管|280|0|12|124.9|98.07
冷拔异型方形钢管|280|0|14|143.9|113
冷拔异型方形钢管|280|0|16|162.4|127.5
冷拔异型矩形钢管|10|5|0.8|0.203|0.16
冷拔异型矩形钢管|10|5|1|0.243|0.191
冷拔异型矩形钢管|12|6|0.8|0.251|0.197
冷拔异型矩形钢管|12|6|1|0.303|0.238
冷拔异型矩形钢管|14|7|1|0.362|0.285
冷拔异型矩形钢管|14|7|1.5|0.501|0.394
冷拔异型矩形钢管|14|7|2|0.611|0.48
冷拔异型矩形钢管|14|10|1|0.423|0.332
冷拔异型矩形钢管|14|10|1.5|0.591|0.464
冷拔异型矩形钢管|14|10|2|0.731|0.574
冷拔异型矩形钢管|16|8|1|0.423|0.332
冷拔异型矩形钢管|16|8|1.5|0.591|0.464
冷拔异型矩形钢管|16|8|2|0.731|0.574
冷拔异型矩形钢管|16|12|1|0.502|0.395
冷拔异型矩形钢管|16|12|1.5|0.711|0.558
冷拔异型矩形钢管|16|12|2|0.891|0.7
冷拔异型矩形钢管|18|9|1|0.483|0.379
冷拔异型矩形钢管|18|9|1.5|0.681|0.535
冷拔异型矩形钢管|18|9|2|0.851|0.668
冷拔异型矩形钢管|18|14|1|0.583|0.458
冷拔异型矩形钢管|18|14|1.5|0.831|0.653
冷拔异型矩形钢管|18|14|2|1.051|0.825
冷拔异型矩形钢管|20|10|1|0.543|0.426
冷拔异型矩形钢管|20|10|1.5|0.771|0.606
冷拔异型矩形钢管|20|10|2|0.971|0.762
冷拔异型矩形钢管|20|12|1|0.583|0.458
