Öá³ÐÐÍºÅ|d|D|L|B|W|D1|ÇòÁÐÊý|¾¶°Ú|¶¯ÔØºÉ|¾²ÔØºÉ
LM-6UU|6|12|19|13.5|1.1|11.5|4|10|108|186
LM-8UU|8|15|24|17.5|1.1|14.3|4|10|122|223
LM-10UU|10|19|29|22|1.3|18|4|10|259|424
LM-12UU|12|21|30|23|1.3|20|4|10|260|431
LM-13UU|13|23|32|23|1.3|22|4|10|289|506
LM-16UU|16|28|37|26.5|1.6|27|5|10|480|766
LM-20UU|20|32|42|30.5|1.6|30.5|5|13|590|1010
LM-25UU|25|40|59|41|1.85|38|6|13|1130|2030
LM-30UU|30|45|64|44.5|1.85|43|6|13|1470|2770
LM-35UU|35|52|70|49.5|2.1|49|6|15|1580|3070
LM-40UU|40|60|80|60.5|2.1|57|6|15|2180|4010
LM-50UU|50|80|100|74|2.6|76.5|6|15|4420|7150
LM-60UU|60|90|110|85|3.15|86.5|6|15|5170|9030
LM-80UU|80|120|140|105.5|4.15|116|6|15|8180|12800
Öá³ÐÐÍºÅ|d|D|L|D1|H|PCD|d1*d2*h|ÇòÁÐÊý|¾¶°Ú|¶¯ÔØºÉ|¾²ÔØºÉ
LMF-6UU|6|12|19|28|5|20|3.4*6.5*3.3|4|5|200|260
LMF-8UU|8|15|24|32|5|24|3.4*6.5*3.3|4|5|260|400
LMF-10UU|10|19|29|40|6|29|4.5*8*4.4|4|5|370|540
LMF-12UU|12|21|30|42|6|32|4.5*8*4.4|4|5|410|590
LMF-13UU|13|23|32|43|6|33|4.5*8*4.4|4|7|500|770
LMF-16UU|16|28|37|48|6|38|4.5*8*4.4|5|7|770|1170
LMF-20UU|20|32|42|54|8|43|5.5*9.5*5.4|5|9|860|1370
LMF-25UU|25|40|59|62|8|51|5.5*9.5*5.4|6|9|980|1560
LMF-30UU|30|45|64|74|10|60|6.6*11*6.5|6|9|1560|2740
LMF-35UU|35|52|70|82|10|67|6.6*11*6.5|6|13|1660|3130
LMF-40UU|40|60|80|96|13|78|9*14*8.6|6|13|2150|4010
LMF-50UU|50|80|100|116|13|98|9*14*8.6|6|13|3820|7930
LMF-60UU|60|90|110|134|18|112|11*17.5*10.8|6|16|4700|9990
LMF-80UU|80|120|140|164|18|142|11*17.5*11.1|6|20|7350|16000
LMF-100UU|100|150|175|200|20|175|14*20*13.1|6|30|14100|34800
Öá³ÐÐÍºÅ|d|D|L|K|H|PCD|d1*d2*h|ÇòÁÐÊý|¾¶°Ú|¶¯ÔØºÉ|¾²ÔØºÉ
LMK-6UU|6|12|19|22|5|20|3.4*6.5*3.3|4|5|200|260
LMK-8UU|8|15|24|25|5|24|3.4*6.5*3.3|4|5|260|400
LMK-10UU|10|19|29|30|6|29|4.5*8*4.4|4|5|370|540
LMK-12UU|12|21|30|32|6|32|4.5*8*4.4|4|5|410|590
LMK-13UU|13|23|32|34|6|33|4.5*8*4.4|4|7|500|770
LMK-16UU|16|28|37|37|6|38|4.5*8*4.4|5|7|770|1170
LMK-20UU|20|32|42|42|8|43|5.5*9.5*5.4|5|9|860|1370
LMK-25UU|25|40|59|50|8|51|5.5*9.5*5.4|6|9|980|1560
LMK-30UU|30|45|64|58|10|60|6.6*11*6.5|6|9|1560|2740
LMK-35UU|35|52|70|64|10|67|6.6*11*6.5|6|13|1660|3130
LMK-40UU|40|60|80|75|13|78|9*14*8.6|6|13|2150|4010
LMK-50UU|50|80|100|92|13|98|9*14*8.6|6|13|3820|7930
LMK-60UU|60|90|110|106|18|112|11*17.5*10.8|6|16|4700|9990
LMK-80UU|80|120|140|136|18|142|11*17.5*11.1|6|20|7350|16000
LMK-100UU|100|150|175|170|20|175|14*20*13.1|6|30|14100|34800
Öá³ÐÐÍºÅ|d|D|L|D1|H|W|A|F|d1*d2*h|ÇòÁÐÊý|¾¶°Ú|¶¯ÔØºÉ|¾²ÔØºÉ
LMH-6UU|6|12|19|28|5|18|20|-|3.4*6.5*3.3|4|5|200|260
LMH-8UU|8|15|24|32|5|21|24|-|3.4*6.5*3.3|4|5|260|400
LMH-10UU|10|19|29|40|6|25|29|-|4.5*8*4.4|4|5|370|540
LMH-12UU|12|21|30|42|6|27|32|-|4.5*8*4.4|4|5|410|590
LMH-13UU|13|23|32|43|6|29|33|-|4.5*8*4.4|4|7|500|770
LMH-16UU|16|28|37|48|6|34|31|22|4.5*8*4.4|5|7|770|1170
LMH-20UU|20|32|42|54|8|38|36|24|5.5*9.5*5.4|5|9|860|1370
LMH-25UU|25|40|59|62|8|46|40|32|5.5*9.5*5.4|6|9|980|1560
LMH-30UU|30|45|64|74|10|51|49|35|6.6*11*6.5|6|9|1560|2740
